HR_clean,RA_deg,DEC_deg,Vmag
267,182.91297782,-52.36845068,3.9323099756240847
268,131.17125265,18.15430914,3.934329857826233
269,6.55084105,-43.67983206,3.9351800727844237
270,89.78668801,-42.81513142,3.935590162277222
271,290.9715706,-40.61593839,3.936720049381256
272,300.14812488,-72.91050438,3.938899962902069
273,22.81293687,-49.07270501,3.9421201515197755
274,318.95595026,5.24786527,3.9426900291442872
275,237.73973648,-33.62717361,3.943420066833496
276,290.65954946,-44.45896074,3.94462993144989
277,115.4552576,-72.60609618,3.9510900259017943
278,193.64843978,-57.17791894,3.9554599642753603
279,106.02721351,20.57029288,3.9555902099609375
280,99.17099216,-19.25587721,3.9567598342895507
281,270.16131625,2.93156477,3.959270112514496
282,130.02559453,-35.30835275,3.9611501550674437
283,66.00923129,-34.01685264,3.9625301456451414
284,298.11820354,1.00565902,3.9672800970077513
285,87.87245959,39.14849516,3.967479887008667
286,337.31739355,-43.49556021,3.9699901723861695
287,109.20760662,-67.9571512,3.9727901220321655
288,220.48996424,-37.79349398,3.9746499395370485
289,93.71388533,-6.27477334,3.9750701332092286
290,156.0987793,-74.03161376,3.9857099771499636
291,201.3064015,54.98795585,3.98935996055603
292,323.49521648,45.59183521,3.991819748878479
293,349.3574272,-58.23573669,3.9946599817276
294,135.61164787,-66.39606826,3.995340175628662
295,34.32861366,33.84719231,3.9966600704193116
296,30.00128716,-21.07782992,3.998249816894531
297,303.86799842,47.71421473,3.9995000648498533
298,240.47227953,58.5652533,4.002979822158814
299,307.34889446,30.368555,4.004400143623352
300,17.09619765,-55.24575773,4.007079977989196
301,244.96009758,-50.15550924,4.008060235977172
302,280.75889847,-71.4281107,4.009210200309753
303,285.42011418,-5.73911695,4.015080032348632
304,284.90565846,15.0682972,4.0161402130126955
305,170.98108722,10.52953361,4.017480235099793
306,108.7027253,-26.77266733,4.020380201339722
307,359.82787316,6.86331901,4.021029934883118
308,25.91515198,50.68873018,4.021170170307159
309,132.63301493,-27.7098454,4.021199994087219
310,219.47177815,-49.4258314,4.021219968795776
311,325.87692062,58.78004333,4.021660213470459
312,131.67424592,28.75990042,4.024659934043885
313,184.60934991,-64.00307083,4.027560179233551
314,59.74125101,35.79103224,4.028160037994385
315,215.13929774,-37.88529327,4.031339807510376
316,75.85454684,60.44224417,4.032010173797607
317,62.96641409,-6.83757967,4.034959917068481
318,170.28413935,6.02932234,4.036310160160065
319,227.21091634,-45.27984571,4.03737990140915
320,342.39792231,-13.59262957,4.041529974937439
321,207.36933719,15.79791084,4.046560039520264
322,176.4648432,6.52938127,4.047540140151978
323,47.26674916,49.61327841,4.048319878578186
324,216.29914965,51.85074211,4.052299885749817
325,131.09977719,-42.64927754,4.053720116615295
326,220.91433358,-35.1736592,4.054570226669312
327,124.63146692,-76.91972218,4.056389756202698
328,113.980627,26.89574745,4.061490259170532
329,254.8960309,-53.16044073,4.063109917640686
330,35.43726665,-68.65942135,4.070229811668396
331,117.30957174,-46.37320694,4.074900257587433
332,74.09281277,13.51446669,4.076069779396057
333,103.54748861,-12.03863013,4.076100015640259
334,164.94360402,-18.29878471,4.0790802049636845
335,143.61104296,-59.22975471,4.079620079994202
336,320.5216682,19.80450879,4.083629789352417
337,84.22662092,9.29067066,4.08799976348877
338,287.36808863,-37.90447819,4.088519787788391
339,105.93955264,-15.63328488,4.089610085487366
340,39.89732264,-68.26694641,4.092589788436889
341,237.18490292,18.14156492,4.099479722976684
342,287.50732387,-39.34079447,4.101450238227844
343,30.51169807,2.76374242,4.104679908752441
344,158.86711446,-78.60778663,4.105189957618713
345,176.62842921,-61.17839713,4.107379870414734
346,44.56848739,-40.30471666,4.108739972114563
347,181.30224957,8.73297201,4.109939866065979
348,312.9553789,-26.91913232,4.110170035362244
349,234.18009209,-66.31703907,4.110790209770203
350,97.24078288,20.2121344,4.11343026638031
351,147.8695551,-14.84661184,4.113700022697449
352,277.2077471,-49.07058505,4.114519753456116
353,298.81540493,-41.86827352,4.121240139007568
354,345.22003445,-52.75413675,4.121470112800598
355,40.1668128,-39.85537772,4.1222298002243045
356,333.9923998,37.74874008,4.122379956245422
357,129.410967,-42.98908214,4.1247501564025875
358,337.29276758,58.4152036,4.126899747848511
359,354.98767175,5.62629106,4.127220134735108
360,52.71824103,12.93667724,4.128549785614013
361,129.41403201,5.70378462,4.130199971199036
362,271.36404409,2.49979492,4.130330023765564
363,355.10211016,44.33393551,4.132749910354614
364,238.45641011,-16.72929324,4.132809729576111
365,341.51455096,-81.38161865,4.134570231437683
366,90.59582367,9.64729514,4.135709929466247
367,107.96608397,-0.49276542,4.136180186271668
368,80.98678228,-7.80805735,4.136740002632141
369,63.72442609,48.4093281,4.141429920196533
370,239.39687489,26.87787278,4.1427801942825315
371,247.7284781,1.98395581,4.143129816055298
372,181.72041604,-64.61373057,4.144690070152283
373,326.16136464,25.645031,4.144769940376282
374,233.70061048,10.53889165,4.146160001754761
375,233.23242458,31.35912981,4.1556001567840575
376,56.58155286,23.94834792,4.1580299425125125
377,122.37218,-47.34527805,4.160910136699677
378,261.59256959,-24.17530784,4.161190128326416
379,337.43931758,-43.74921705,4.16511990070343
380,334.20848759,-7.78328831,4.166300158500672
381,112.27798875,31.78453362,4.167309947013855
382,340.16392911,-27.04361888,4.170079846382141
383,57.36351801,-36.20024346,4.170340209007263
384,214.09591297,46.08830597,4.17263023853302
